股票代码,股票简称,最新价,最新涨跌幅,牛叉诊股综合评分,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分,market_code,code
688041.SH,海光信息,82.39,-4.198,7.7,9.0,8.3,9.9,1.2,6.8,17,688041
300308.SZ,中际旭创,159.5,4.659,7.6,9.0,7.1,8.1,4.5,7.2,33,300308
601058.SH,赛轮轮胎,13.19,-0.827,7.6,8.5,7.6,7.7,4.5,7.7,17,601058
000526.SZ,学大教育,57.38,0.861,7.5,9.0,6.2,7.2,4.5,8.2,33,526
002648.SZ,卫星化学,15.85,-0.377,7.5,8.7,5.6,8.8,4.5,7.9,33,2648
601567.SH,三星医疗,23.85,1.231,7.5,8.8,6.7,8.8,4.5,7.1,17,601567
688676.SH,金盘科技,41.04,-2.286,7.5,8.8,8.0,9.9,1.0,6.9,17,688676
300002.SZ,神州泰岳,10.91,-3.537,7.4,8.8,5.5,9.9,4.5,6.7,33,300002
600066.SH,宇通客车,16.92,0.0,7.4,8.7,7.6,6.6,4.7,7.2,17,600066
600150.SH,中国船舶,32.77,-0.425,7.4,8.7,6.3,8.1,4.5,7.6,17,600150
000528.SZ,柳工,7.78,-0.639,7.3,8.8,6.3,8.1,4.5,6.9,33,528
600028.SH,中国石化,6.25,-0.478,7.3,8.7,6.9,5.5,4.5,8.1,17,600028
600985.SH,淮北矿业,18.83,0.427,7.3,9.0,7.6,5.5,5.3,7.0,17,600985
603129.SH,春风动力,93.12,-3.503,7.3,7.4,7.2,9.9,1.0,8.2,17,603129
603298.SH,杭叉集团,27.31,0.887,7.3,8.0,7.4,9.9,1.0,7.3,17,603298
603871.SH,嘉友国际,23.2,7.457,7.3,8.8,8.3,7.7,1.0,6.9,17,603871
688278.SH,特宝生物,59.34,0.068,7.3,8.2,7.7,8.4,1.6,7.5,17,688278
002154.SZ,报喜鸟,6.81,-0.293,7.2,8.6,6.1,7.7,4.5,7.3,33,2154
002371.SZ,北方华创,255.1,-1.315,7.2,8.4,5.8,7.7,4.8,7.7,33,2371
300017.SZ,网宿科技,8.95,-2.505,7.2,8.9,5.2,8.8,4.5,7.0,33,300017
600027.SH,华电国际,6.27,0.481,7.2,8.8,5.4,8.8,4.9,6.7,17,600027
600282.SH,南钢股份,4.22,3.431,7.2,9.0,7.1,5.5,4.2,7.2,17,600282
600482.SH,中国动力,21.11,-3.695,7.2,8.9,7.8,7.7,4.5,5.3,17,600482
600919.SH,江苏银行,7.61,1.602,7.2,8.8,7.1,5.5,4.1,7.8,17,600919
601577.SH,长沙银行,7.71,0.916,7.2,8.6,7.3,5.5,4.1,7.5,17,601577
688169.SH,石头科技,329.29,1.152,7.2,8.4,7.0,8.8,1.1,7.2,17,688169
000157.SZ,中联重科,8.15,2.904,7.1,8.7,5.0,8.8,4.5,6.9,33,157
002032.SZ,苏泊尔,54.27,-0.239,7.1,7.5,6.9,6.8,4.6,7.9,33,2032
002517.SZ,恺英网络,11.6,-1.778,7.1,8.7,6.1,8.4,4.5,6.2,33,2517
002749.SZ,国光股份,16.01,3.759,7.1,9.1,7.3,7.8,1.0,6.5,33,2749
300394.SZ,天孚通信,128.65,-1.463,7.1,9.0,6.1,8.4,1.1,7.2,33,300394
